1,Multihunter,14,5909,1,Romans,320801&c=38
2,Asterix,1603,104,3,Gauls,316788&c=1f|316789&c=ed|317589&c=14
3,Black Blood,463,942,2,Gauls,324013&c=df|324014&c=0f
4,Perturabo,281,1802,1,Gauls,317592&c=dc
5,CLEMO,145,3010,1,Romans,318393&c=fd
6,Fosters,792,416,2,Gauls,313589&c=a0|640900&c=af
7,maximus 5000,453,971,1,Romans,315196&c=9f
8,Hera44,538,774,1,Romans,319995&c=1f
11,aggiepoos,527,795,1,Romans,319992&c=cc
13,Drac,204,2402,1,Gauls,314394&c=05
14,comeplayme81,645,575,2,Romans,320008&c=b2|356776&c=ef
16,Chimp,1330,156,3,Romans,315996&c=01|314396&c=24|265483&c=69
17,debz,354,1393,1,Romans,324797&c=62
19,Aggies,1006,257,3,Gauls,327210&c=7a|324812&c=58|324813&c=56
23,don franchi,1307,159,4,Romans,317598&c=2e|318399&c=ae|317599&c=22|318400&c=34
24,Galen,420,1093,1,Romans,324802&c=7d
25,rjo,393,1211,2,Romans,313595&c=45|323339&c=1e
31,kraygus,990,266,3,Gauls,322396&c=66|324800&c=db|323199&c=63
34,mracius,1840,72,4,Gauls,320006&c=4d|316048&c=51|316849&c=17|328865&c=eb
38,Came-a-lot,140,3065,1,Romans,315988&c=79
40,Mich,623,607,2,Teutons,312793&c=e5|313594&c=e4
41,afro al,285,1779,1,Romans,315191&c=23
42,Greybeard,1859,70,4,Teutons,317596&c=f1|318396&c=7c|316792&c=08|345634&c=5a
46,temari_sama,344,1439,2,Gauls,318397&c=05|316796&c=ec
55,Noel,666,554,2,Gauls,319994&c=21|312017&c=74
57,i_hate_beckham,548,759,2,Gauls,319208&c=9f|314402&c=ef
58,jack,880,334,3,Romans,314399&c=7b|280819&c=3d|280018&c=44
60,-H-,1517,119,4,Gauls,321593&c=81|322394&c=64|321596&c=f7|321597&c=87
70,pilotfish,1093,225,3,Romans,312802&c=14|315208&c=35|313603&c=51
72,mitchell,435,1035,2,Romans,312788&c=2d|637696&c=38
73,Rincewind,288,1766,1,Romans,319996&c=42
74,The Timelord,706,508,2,Gauls,319192&c=e7|318390&c=8e
81,IGOR,104,3607,1,Gauls,327216&c=50
82,Walt,663,557,3,Gauls,323196&c=a4|323197&c=c9|322397&c=74
84,kimus,424,1082,1,Romans,321595&c=2e
87,diddles,514,823,2,Teutons,319194&c=ff|319195&c=4f
90,GKL,759,451,2,Romans,324817&c=62|325618&c=18
91,Soulofcoal,713,501,3,Teutons,326401&c=9f|327203&c=fa|328005&c=95
96,acaldwell,203,2415,1,Romans,324000&c=78
99,tommo365,952,283,2,Romans,332016&c=19|516245&c=5f
105,Blue442,902,318,2,Gauls,329620&c=84|330422&c=d4
107,Kohonen,1381,142,4,Gauls,314393&c=43|323995&c=73|323996&c=5d|323193&c=7e
110,Althamus,795,413,2,Romans,317590&c=d8|315185&c=e3
112,SAF,1036,245,3,Gauls,308783&c=ba|295072&c=19|307980&c=f1
115,pinkelephants,558,742,1,Romans,325606&c=6b
117,anjing,696,520,2,Romans,313582&c=51|312782&c=89
118,graystest,756,455,2,Romans,328809&c=b6|432139&c=e1
121,Gowron,244,2065,1,Romans,311191&c=df
124,Ebb,142,3038,1,Gauls,328811&c=9b
125,jackdw,596,659,2,Gauls,326403&c=da|339228&c=e2
126,crazyboy11,497,859,2,Gauls,332014&c=e6|337624&c=ec
133,socom,443,1003,2,Gauls,319199&c=c1|319202&c=0d
135,A Dot,1005,260,4,Teutons,332021&c=94|330416&c=39|330420&c=83|331217&c=4d
145,xPrincesSlayeRx,173,2712,1,Romans,311981&c=00
146,Der Teutone,489,875,2,Teutons,308785&c=03|347267&c=b6
149,Ti_Geer,1315,158,2,Romans,320012&c=82|318491&c=db
151,thealmightygoat,326,1527,2,Teutons,319986&c=c6|319985&c=4e
153,thebhoy,167,2763,1,Teutons,311187&c=a9
155,Jammy,503,846,2,Romans,326397&c=3a|326398&c=a1
158,bigbird,1424,131,3,Romans,329621&c=d3|328821&c=b3|328822&c=b2
160,meomwt,936,295,3,Romans,328802&c=16|328801&c=21|329604&c=50
161,Narradine,1152,198,4,Romans,310387&c=c5|309585&c=be|311188&c=30|310388&c=f9
163,kimbop,106,3561,1,Teutons,324820&c=33
164,yomus,627,597,2,Romans,330406&c=db|396725&c=5a
166,moomin85,265,1917,1,Gauls,321591&c=f8
167,davinci3,289,1759,1,Romans,319185&c=0a
169,Ghosts,435,1034,1,Romans,316809&c=5b
170,krull,1392,141,4,Romans,331220&c=53|330418&c=21|331219&c=6b|331221&c=25
171,Alubob,623,606,2,Gauls,325596&c=49|324795&c=e1
172,kymbo,144,3020,1,Romans,315982&c=e8
174,Kahlan2,946,288,2,Gauls,311996&c=6d|310395&c=d3
175,hades,25,5481,1,Romans,316785&c=5b
176,-PF-,745,464,3,Romans,311982&c=55|312783&c=23|314384&c=b7
177,kotinka,1185,180,3,Gauls,331209&c=94|330408&c=a8|329606&c=b9
178,lord bunny,159,2848,1,Teutons,332012&c=4e
182,Gabbs,751,457,2,Gauls,325619&c=06|326420&c=3d
