3,New Chains of Honour,1,,N C O H²,35|7,693|693
4,Staff Alliance,1,,Staff,,22574|1|1
6,death,1,,death,235|143|207|210|7|107|44|50|54|19,13358
7,Main Power Apple,3,,Power.A!,108|44|348|107|235|296|270|160|232|127|21|56|39|94|100|54|6|69|3|8|16|22|85|65|143|19|80|24|310,6993|4915|3709
8,GATU-MARS Union,11,,[GMU],545|100|33|210|129|267|244|114|7|108|93|65|31|85|54|19|246|61|398|550|181|67|164|34,232|857|10159|401|941|2874|6628|2677|3576|443|2034
10,Travian Masters,1,,T.M.,85|44|19|210|143,2084
15,Hooligans On Tour,2,,HOT,107|60|164|44,1744|2266
16,Dark Reapers!,1,,Reaper!,60|160|7|94|49,3324
19,Power Apple#,3,,Power.A#,550|235|232|143|65|85|8|7|44|6|54|10|21|56|108|94|100|310,2396|2737|1963|2396|2737
21,The South East Group,2,,SEG,135|126|164|7|160|44|54|218|19,1810|1445
22,Blessed are the Ori,19,,The Ori,700|398|545|188|210|71|235|56|298|108|160|206|7|114|93|65|51|44|54|840|120|377|107|173|550,475|542|551|421|644|644|8389|551|542|2978|528|2904|664|4840|10790|7316|8217|421|475|2329|2123|13936|19074|17698
24,friendship,1,,Peace,210|108|336|7|143,1336
28,INSTINCT,5,,INSTINCT,491|151|107|235|210|250|154|598,3636|11442|2102|2534|3636|3593
31,The Good The Bad The PIE!,2,,=PIE=,44|80|210|108|235|126|8,769|529|769
33,Guardian Angels,56,,Angels,539|445|108|67|93|377|79|135|586|363|322|237|271|8|210|74|160|114,184|1394|4246|734|3866|1063|4645|758|5684|4461|1161|5192|5987|2206|184|3185|1320|3448|5992|901|1394|1038|1018|5047|3141|125|7215|7550|9891|3400|2747|1408|4129|2330|7248|2801|4095|4970|1451|3974|1342|3224|10538|3445|3346|17235|4246|3838|3395|6050|169|5888|1752|1561|13380|5513|2194|11153|10984
34,Getgaming Alliance,56,,GGA,789|602|425|551|398|133|527|387|255|73|75|51|100|336|210|79|65|44|177|396|295|131|606|80|181|74|8|67,411|1703|2302|3137|2718|828|2358|1230|3895|728|1090|4724|532|639|2526|7063|6300|1443|621|1859|410|6846|4671|2352|1407|6405|2857|7950|4932|1366|1270|7080|3712|1496|6338|12087|662|315|2647|3805|2617|1603|17128|1190|17368|652|2918|799|6971|488|1637|11222|1779|906|11771|1229
35,New Chains of Honour,2,,N C O H,3,4242|4242|6265
39,Love And War,6,,LAW,363|379|235|223|127|69|135|270|160|7|221,3732|5710|3732|10846|6114|5244|10485
41,Riders Of The Apocalypse,5,,RoTA,93|235|44,2077|984|18632|778|1037
44,The United Alliance,22,,The U.A,135|71|576|210|418|31|34|363|244|7|397|107|41|235|171|6|93|21|10|54|22|15|550|100|19|67|598,10616|1077|1166|485|3152|8346|9855|10838|8163|5378|5304|8533|1831|13212|5610|7848|16511|11363|11128|7073|20806|20054
49,Dark ReapersNE,2,,ReaperNE,16,2935|2935|4625
50,Travian Trade & Defense,1,,T.T.D,6|181|115,4420
51,Getgaming Alliance 2,33,,GGA2,73|322|696|617|75|336|398|133|606|79|545|551|34|65|93|22|120|387|206,5172|14734|12190|11427|663|12831|1424|15087|13568|7964|7558|14025|10216|14579|18089|13891|17695|16883|17542|15908|15744|15857|14458|18565|15261|18581|17666|18432|17594|16549|16435|21537|20362
53,Tesco Slogan Thieves SE,57,,TST³,780|539|89|162|243|159,3835|3870|4308|1551|9365|4239|1937|4394|4210|11129|2735|4649|9610|2758|1335|4463|5297|3149|3275|3695|4863|7923|2286|4708|5261|4314|2733|10162|2736|10362|2956|543|6302|4034|12954|11003|2110|10269|4770|13183|3776|4035|2873|7122|7532|7289|5537|6800|4413|4206|1326|5382|4085|4824|4363|12399|13088
